Poll,Date,Sample,MoE,Barack Obama,John McCain
Final Results,--,--,--,52.9,45.6
RCP Average,10/29 - 11/3,--,--,52.1,44.5
Marist,11/3 - 11/3,804 LV,4,52,43
Battleground (Lake)*,11/2 - 11/3,800 LV,3.5,52,47
Battleground (Tarrance)*,11/2 - 11/3,800 LV,3.5,50,48
Rasmussen Reports,11/1 - 11/3,3000 LV,2,52,46
Reuters/C-SPAN/Zogby,11/1 - 11/3,1201 LV,2.9,54,43
IBD/TIPP,11/1 - 11/3,981 LV,3.2,52,44
FOX News,11/1 - 11/2,971 LV,3,50,43
NBC News/Wall St. Jrnl,11/1 - 11/2,1011 LV,3.1,51,43
Gallup,10/31 - 11/2,2472 LV,2,55,44
Diageo/Hotline,10/31 - 11/2,887 LV,3.3,50,45
CBS News,10/31 - 11/2,714 LV,--,51,42
Ipsos/McClatchy,10/30 - 11/2,760 LV,3.6,53,46
ABC News/Wash Post,10/30 - 11/2,2470 LV,2.5,53,44
CNN/Opinion Research,10/30 - 11/1,714 LV,3.5,53,46
Pew Research,10/29 - 11/1,2587 LV,2,52,46
GWU/Battleground,10/29 - 11/2,800 LV,3.5,50,44
Gallup (Traditional)*,10/30 - 11/1,2503 LV,2,51,43
Gallup (Expanded)*,10/30 - 11/1,2475 LV,2,52,43
Marist,10/29 - 10/29,543 LV,4.5,50,43
FOX News,10/28 - 10/29,924 LV,3,47,44
CBS News/NY Times,10/25 - 10/29,1005 LV,--,52,41
Ipsos/McClatchy,10/23 - 10/27,831 LV,3.4,50,45
Rasmussen Reports,10/24 - 10/26,3000 LV,2,51,46
Gallup (Traditional)*,10/24 - 10/26,2446 LV,2,50,45
Gallup (Expanded)*,10/24 - 10/26,2343 LV,2,53,43
Diageo/Hotline,10/24 - 10/26,879 LV,3.6,50,42
Reuters/C-SPAN/Zogby,10/24 - 10/26,1203 LV,2.9,50,45
ABC News/Wash Post,10/23 - 10/26,1314 LV,2.5,52,45
Pew Research,10/23 - 10/26,1198 LV,3.5,53,38
IBD/TIPP,10/22 - 10/26,824 LV,3.5,47,44
GWU/Battleground,10/20 - 10/26,1000 LV,3.5,49,46
Newsweek,10/22 - 10/23,882 LV,4,53,41
Rasmussen Reports,10/20 - 10/22,3000 LV,2,52,45
Gallup (Traditional)*,10/20 - 10/22,2399 LV,2,50,46
Gallup (Expanded)*,10/20 - 10/22,2349 LV,2,51,45
Diageo/Hotline,10/20 - 10/22,769 LV,3.5,48,43
Reuters/C-SPAN/Zogby,10/20 - 10/22,1206 LV,2.9,52,40
ABC News/Wash Post,10/19 - 10/22,1335 LV,2.5,54,43
IBD/TIPP,10/18 - 10/22,1060 LV,3.5,45,44
GWU/Battleground,10/16 - 10/22,1000 LV,3.5,49,45
FOX News,10/20 - 10/21,936 LV,3,49,40
CBS News/NY Times,10/19 - 10/22,771 LV,--,52,39
NBC News/Wall St. Jrnl,10/17 - 10/20,1159 RV,2.9,52,42
Associated Press/GfK,10/16 - 10/20,800 LV,3.5,44,43
Ipsos/McClatchy,10/16 - 10/20,773 LV,3.5,50,42
CNN/Opinion Research,10/17 - 10/19,764 LV,3.5,51,46
Pew Research,10/16 - 10/19,2382 LV,2.5,53,39
Rasmussen Reports,10/16 - 10/18,3000 LV,2,51,45
Gallup (Traditional)*,10/16 - 10/18,2590 LV,2,49,46
Gallup (Expanded)*,10/16 - 10/18,2277 LV,2,51,44
Diageo/Hotline,10/16 - 10/18,785 LV,3.5,48,41
Reuters/C-SPAN/Zogby,10/16 - 10/18,1211 LV,2.9,48,45
Democracy Corps (D),10/15 - 10/19,1000 LV,--,50,46
GWU/Battleground,10/13 - 10/19,1000 LV,3.1,49,45
F&M/Hearst-Argyle,10/13 - 10/19,LV,3.5,50,45
IBD/TIPP,10/14 - 10/18,1072 LV,3,47,42
Rasmussen Reports,10/11 - 10/13,3000 LV,2,50,45
Diageo/Hotline,10/11 - 10/13,829 LV,3.4,48,42
Reuters/C-SPAN/Zogby,10/11 - 10/13,1208 LV,2.9,49,43
Gallup (Traditional)*,10/11 - 10/13,2140 LV,2,51,45
Gallup (Expanded)*,10/11 - 10/13,2289 LV,2,53,43
LA Times/Bloomberg,10/10 - 10/13,1030 LV,3,50,41
CBS News/NY Times,10/10 - 10/13,699 LV,--,53,39
GWU/Battleground,10/8 - 10/13,800 LV,3.5,53,40
IBD/TIPP,10/7 - 10/13,884 LV,3.5,45,42
USA Today/Gallup (Traditional)*,10/10 - 10/12,761 LV,4,50,46
USA Today/Gallup (Expanded)*,10/10 - 10/12,1030 LV,3,52,45
Pew Research,10/9 - 10/12,1191 LV,--,49,42
Ipsos/McClatchy,10/9 - 10/13,1036 RV,3,48,39
Democracy Corps (D),10/8 - 10/12,1000 LV,--,51,42
ABC News/Wash Post,10/8 - 10/11,766 LV,3.5,53,43
FOX News,10/8 - 10/9,900 RV,3,46,39
Newsweek,10/8 - 10/9,1035 RV,3.7,52,41
Rasmussen Reports,10/7 - 10/9,3000 LV,2,50,45
Gallup,10/7 - 10/9,2784 RV,2,51,41
Hotline/FD,10/7 - 10/9,838 LV,2,48,41
Reuters/C-SPAN/Zogby,10/6 - 10/9,1200 LV,4.2,48,43
GWU/Battleground,10/6 - 10/9,800 LV,3.5,51,43
Time,10/3 - 10/6,1053 LV,--,50,44
NBC News/Wall St. Jrnl,10/4 - 10/5,658 RV,3.8,49,43
CBS News,10/3 - 10/5,616 LV,--,48,45
CNN,10/3 - 10/5,694 LV,3.5,53,45
Ipsos/McClatchy,10/2 - 10/6,858 RV,3.3,47,40
Democracy Corps (D),10/1 - 10/5,1000 LV,--,49,46
Marist,9/28 - 9/30,943 LV,--,49,44
CBS News,9/27 - 9/30,769 LV,--,50,41
Associated Press/GfK,9/27 - 9/30,808 LV,3.4,48,41
ABC News/Wash Post,9/27 - 9/29,916 LV,3,50,46
Pew Research,9/27 - 9/29,1181 LV,4,49,43
Ipsos/McClatchy,9/26 - 9/29,1007 RV,3.1,48,45
Time,9/26 - 9/29,1133 LV,--,50,43
Gallup Tracking,9/24 - 9/26,2759 RV,2,49,44
Rasmussen Tracking,9/24 - 9/26,3000 LV,2,50,44
Hotline/FD Tracking,9/24 - 9/26,914 RV,3.3,48,43
GWU/Battleground,9/21 - 9/25,1000 LV,3.3,46,48
CBS News/NY Times,9/21 - 9/24,LV,4,48,43
FOX News,9/22 - 9/23,900 RV,3,45,39
Marist,9/22 - 9/23,689 LV,4,49,44
NBC News/Wall St. Jrnl,9/19 - 9/22,1085 RV,3,48,46
ABC News/Wash Post,9/19 - 9/22,780 LV,3.5,52,43
LA Times/Bloomberg,9/19 - 9/22,838 LV,--,49,45
Ipsos/McClatchy,9/18 - 9/22,923 RV,3.2,44,43
CNN/Opinion Research,9/19 - 9/21,697 LV,3,51,47
F&M/Hearst-Argyle,9/15 - 9/21,1138 LV,3,45,47
Gallup Tracking,9/15 - 9/17,2815 RV,2,48,44
Rasmussen Tracking,9/15 - 9/17,3000 LV,2,48,48
Hotline/FD Tracking,9/15 - 9/17,912 RV,3.2,46,42
GWU/Battleground,9/11 - 9/18,800 LV,3,47,47
CBS News/NY Times,9/12 - 9/16,LV,3,49,44
Quinnipiac,9/11 - 9/16,987 LV,3.1,49,45
Pew Research,9/9 - 9/14,2307 LV,--,46,46
Reuters/Zogby,9/11 - 9/13,1008 LV,3.1,47,45
Newsweek,9/10 - 9/11,1038 RV,3.8,46,46
GWU/Battleground,9/7 - 9/11,1000 LV,3.1,44,48
Associated Press/GfK,9/5 - 9/10,812 LV,--,44,48
FOX News,9/8 - 9/9,900 RV,3,42,45
Gallup Tracking,9/7 - 9/9,2714 RV,2,43,48
Rasmussen Tracking,9/7 - 9/9,3000 LV,2,48,47
Hotline/FD Tracking,9/7 - 9/9,902 RV,3.2,45,45
NBC News/Wall St. Jrnl,9/6 - 9/8,860 RV,3.3,46,45
ABC News/Wash Post,9/5 - 9/7,LV,3,47,49
USA Today/Gallup,9/5 - 9/7,823 LV,4,44,54
CBS News*,9/5 - 9/7,655 RV,4,44,46
CNN/OpinionResearch,9/5 - 9/7,942 RV,3,48,48
IBD/TIPP,9/2 - 9/7,868 RV,3.3,45,40
CBS News,9/1 - 9/3,734 RV,3,42,42
Gallup Tracking,8/30 - 9/1,2772 RV,2,50,42
Rasmussen Tracking,8/30 - 9/1,3000 LV,2,51,45
