Poll,Date,Sample,MoE,Hillary Clinton,Donald Trump
Final Results,--,--,--,48.2,46.1
RCP Average,11/1 - 11/7,--,--,46.8,43.6
Bloomberg,11/4 - 11/6,799 LV,3.5,46,43
IBD/TIPP Tracking,11/4 - 11/7,1107 LV,3.1,43,42
Economist/YouGov,11/4 - 11/7,3669 LV,--,49,45
LA Times/USC Tracking,11/1 - 11/7,2935 LV,4.5,44,47
ABC/Wash Post Tracking,11/3 - 11/6,2220 LV,2.5,49,46
FOX News,11/3 - 11/6,1295 LV,2.5,48,44
Monmouth,11/3 - 11/6,748 LV,3.6,50,44
NBC News/Wall St. Jrnl,11/3 - 11/5,1282 LV,2.7,48,43
CBS News,11/2 - 11/6,1426 LV,3,47,43
Reuters/Ipsos,11/2 - 11/6,2196 LV,2.3,44,39
McClatchy/Marist,11/1 - 11/3,940 LV,3.2,46,44
FOX News,11/1 - 11/3,1107 LV,3,46,45
NBC News/SM,10/31 - 11/6,30145 LV,1,51,44
Reuters/Ipsos,10/31 - 11/4,2244 LV,2.2,44,40
Gravis,10/31 - 10/31,5360 RV,1.3,50,50
Reuters/Ipsos,10/30 - 11/3,2021 LV,2.5,44,39
Economist/YouGov,10/30 - 11/1,1233 LV,3.2,48,45
Reuters/Ipsos,10/29 - 11/2,1858 LV,2.6,45,39
CBS News/NY Times,10/28 - 11/1,1333 LV,3,47,44
ABC/Wash Post Tracking,10/27 - 10/30,1128 LV,3,48,47
LA Times/USC Tracking,10/25 - 10/31,3145 LV,4.5,43,47
IBD/TIPP Tracking,10/25 - 10/30,1013 LV,3.3,45,43
NBC News/SM,10/24 - 10/30,40816 LV,1,51,44
LA Times/USC Tracking,10/22 - 10/28,3248 LV,4.5,44,46
ABC/Wash Post Tracking,10/23 - 10/26,1109 LV,3,50,45
Economist/YouGov,10/22 - 10/26,1209 LV,3.3,49,46
FOX News,10/22 - 10/25,1221 LV,2.5,49,44
IBD/TIPP Tracking,10/20 - 10/25,921 LV,3.3,43,41
Pew Research,10/20 - 10/25,2120 RV,2.4,50,43
ABC News Tracking,10/21 - 10/24,1119 LV,3,51,43
CNBC,10/21 - 10/24,LV,--,47,37
LA Times/USC Tracking,10/19 - 10/25,3145 LV,4.5,44,45
USA Today/Suffolk,10/20 - 10/24,1000 LV,3,49,39
Associated Press-GfK,10/20 - 10/24,1212 LV,--,54,41
Reuters/Ipsos,10/20 - 10/24,1170 LV,3.3,43,37
ABC News Tracking,10/20 - 10/23,611 LV,4.5,53,41
Gravis,10/20 - 10/23,2109 RV,2.1,50,50
CNN/ORC,10/20 - 10/23,779 LV,3.5,51,45
NBC News/SM,10/17 - 10/23,32255 LV,1,50,44
Quinnipiac,10/17 - 10/18,1007 LV,3.1,50,44
Economist/YouGov,10/15 - 10/18,925 RV,3.9,47,43
FOX News,10/15 - 10/17,912 LV,3,49,42
Bloomberg,10/14 - 10/17,1006 LV,3.1,50,41
Reuters/Ipsos,10/13 - 10/17,1190 LV,3.3,43,39
Monmouth,10/14 - 10/16,726 LV,3.6,53,41
CBS News,10/12 - 10/16,1189 LV,3,51,40
NBC News/SM,10/10 - 10/16,24804 LV,1,51,43
ABC News/Wash Post,10/10 - 10/13,740 LV,4,50,46
NBC News/Wall St. Jrnl,10/10 - 10/13,905 LV,3.3,51,41
LA Times/USC Tracking,10/9 - 10/15,2946 LV,4.5,44,45
FOX News,10/10 - 10/12,917 LV,3,49,41
NBC News/Wall St. Jrnl,10/8 - 10/10,806 LV,3.5,50,40
Reuters/Ipsos,10/6 - 10/10,2363 LV,2.2,44,37
NBC News/Wall St. Jrnl,10/8 - 10/9,447 LV,4.6,52,38
Economist/YouGov,10/7 - 10/8,971 RV,4.2,48,43
The Atlantic,10/5 - 10/9,886 LV,3.9,49,38
LA Times/USC Tracking,10/4 - 10/10,2969 LV,4.5,43,45
NBC News/SM,10/3 - 10/9,23329 LV,1,51,44
Quinnipiac,10/5 - 10/6,1064 LV,3,50,44
FOX News,10/3 - 10/6,896 LV,3,48,44
Economist/YouGov,10/1 - 10/3,911 RV,3.9,48,43
Reuters/Ipsos,9/29 - 10/3,1239 LV,3.2,44,37
The Atlantic/PRRI,9/28 - 10/2,609 LV,--,47,41
CBS News,9/28 - 10/2,1217 LV,4,49,43
CNN/ORC,9/28 - 10/2,1213 LV,3,51,45
LA Times/USC Tracking,9/27 - 10/3,2275 LV,4.5,43,47
FOX News,9/27 - 9/29,911 LV,3,49,44
NBC News/SM,9/26 - 10/2,26925 LV,1,50,44
PPP (D),9/27 - 9/28,933 LV,3.2,49,45
Gravis,9/27 - 9/27,3386 RV,1.7,50,50
Reuters/Ipsos,9/22 - 9/26,1041 LV,3.5,44,38
Quinnipiac,9/22 - 9/25,1115 LV,2.9,47,46
Bloomberg,9/21 - 9/24,1002 LV,3.1,46,46
Monmouth,9/22 - 9/25,729 LV,3.6,49,46
Economist/YouGov,9/22 - 9/24,948 RV,3.8,48,44
LA Times/USC Tracking,9/20 - 9/26,2726 LV,4.5,43,46
NBC News/SM,9/19 - 9/25,13598 LV,1.1,51,44
ABC News/Wash Post,9/19 - 9/22,651 LV,4.5,49,47
Economist/YouGov,9/18 - 9/19,936 RV,4,45,44
Reuters/Ipsos,9/15 - 9/19,1111 LV,3.4,39,39
McClatchy/Marist,9/15 - 9/20,758 LV,3.6,48,41
NBC News/Wall St. Jrnl,9/16 - 9/19,922 LV,3.2,48,41
Associated Press-GfK,9/15 - 9/16,1251 LV,--,50,44
LA Times/USC Tracking,9/13 - 9/19,2524 LV,4.5,42,47
NBC News/SM,9/12 - 9/18,13320 LV,1.2,50,45
FOX News,9/11 - 9/14,867 LV,3,45,46
CBS News/NY Times,9/9 - 9/13,1433 LV,3,46,44
Economist/YouGov,9/10 - 9/13,926 RV,4,46,44
Quinnipiac,9/8 - 9/13,960 LV,3.2,48,43
Reuters/Ipsos,9/8 - 9/12,1127 LV,3.3,40,39
LA Times/USC Tracking,9/5 - 9/11,2596 LV,4.5,44,44
NBC News/SM,9/5 - 9/11,16220 RV,1.1,48,44
ABC News/Wash Post,9/5 - 9/8,642 LV,4.5,51,43
Economist/YouGov,9/4 - 9/6,955 RV,4.7,44,42
Reuters/Ipsos,9/1 - 9/5,1084 LV,3.5,40,38
CNN/ORC,9/1 - 9/4,786 LV,3.5,48,49
NBC News/SM,8/29 - 9/4,32226 RV,1,48,42
IBD/TIPP,8/26 - 9/1,861 LV,3.4,44,43
